,title,studio,domestic_gross,foreign_gross,year
474,The Rum Diary,FD,13100000,10800000,2011-01-01
475,The Women on the 6th Floor,Strand,720000,22500000,2011-01-01
476,Potiche,MBox,1600000,21600000,2011-01-01
477,Warrior,LGF,13700000,9400000,2011-01-01
478,Young Adult,Par.,16300000,6600000,2011-01-01
479,Sarah's Key,Wein.,7700000,13400000,2011-01-01
480,The Way Back,NM,2700000,17600000,2011-01-01
481,A Separation,SPC,7100000,12800000,2011-01-01
482,The Guard,SPC,5400000,14200000,2011-01-01
483,Margin Call,RAtt.,5400000,14200000,2011-01-01
484,Glee The 3D Concert Movie,Fox,11900000,6800000,2011-01-01
485,Shame,FoxS,3900000,13800000,2011-01-01
486,13 Assassins,Magn.,803000,16800000,2011-01-01
487,Hoodwinked Too! Hood vs. Evil,Wein.,10100000,6800000,2011-01-01
488,The Heir Apparent: Largo Winch,MBox,10400,16900000,2011-01-01
489,The Last Godfather,RAtt.,164000,16600000,2011-01-01
490,Delhi Belly,UTV,1500000,15200000,2011-01-01
491,Melancholia,Magn.,3000000,12900000,2011-01-01
492,Judy Moody and the NOT Bummer Summer,Rela.,15000000,678000,2011-01-01
493,The Conspirator,RAtt.,11500000,3900000,2011-01-01
494,Anonymous,Sony,4500000,10900000,2011-01-01
495,Ip Man 2: Legend of the Grandmaster,Vari.,206000,14900000,2011-01-01
496,The Housemaid,IFC,158000,14600000,2011-01-01
497,Desert Flower,NGE,44300,14600000,2011-01-01
498,Pina,IFC,3500000,11100000,2011-01-01
499,Beginners,Focus,5800000,8500000,2011-01-01
500,My Afternoons with Margueritte,Cohen,667000,13600000,2011-01-01
501,I Saw the Devil,Magn.,129000,12600000,2011-01-01
502,The Hedgehog,NeoC,708000,12000000,2011-01-01
503,Gainsbourg: A Heroic Life,MBox,233000,12000000,2011-01-01
504,The Warring States,CL,69000,11800000,2011-01-01
505,What Women Want (Wo Zhi Nu Run Xin),CL,124000,11700000,2011-01-01
506,Snow Flower and the Secret Fan,FoxS,1300000,10000000,2011-01-01
507,Win Win,FoxS,10200000,652000,2011-01-01
508,Flying Monsters,NGE,5700000,5100000,2011-01-01
509,City of Life and Death,Kino,123000,10600000,2011-01-01
510,Le Havre,Jan.,612000,9900000,2011-01-01
511,Straw Dogs (2011),SGem,10300000,0,2011-01-01
512,Prom,BV,10100000,0,2011-01-01
513,In a Better World,SPC,1000000,8600000,2011-01-01
514,Trespass (2011),MNE,24100,9600000,2011-01-01
515,Saving Private Perez,LGF,1400000,7900000,2011-01-01
516,Point Blank,Magn.,708000,8500000,2011-01-01
517,Winter in Wartime,SPC,543000,8700000,2011-01-01
518,Barney's Version (U.S. only),SPC,4400000,4000000,2011-01-01
519,Outrage (2011),Magn.,44700,8400000,2011-01-01
520,Senna,PDA,1600000,6600000,2011-01-01
521,Last Night,Trib.,99000,7600000,2011-01-01
522,The Big Year,Fox,7200000,244000,2011-01-01
523,The Beaver,Sum.,971000,6300000,2011-01-01
524,Take Me Home Tonight,Rela.,6900000,0,2011-01-01
525,Cedar Rapids,FoxS,6900000,0,2011-01-01
526,The Princess of Montpensier,IFC,352000,6400000,2011-01-01
527,Cave of Forgotten Dreams,IFC,5300000,1200000,2011-01-01
528,Sex and Zen 3D: Extreme Ecstasy,CL,153000,6200000,2011-01-01
529,We Need to Talk About Kevin,Osci.,1700000,4300000,2011-01-01
530,Attack the Block,SGem,1000000,4800000,2011-01-01
531,Even the Rain,Vita.,518000,5300000,2011-01-01
532,Young Goethe in Love,MBox,162000,5600000,2011-01-01
533,11-11-11,Rocket,32800,5700000,2011-01-01
534,Certified Copy,IFC,1400000,4099999,2011-01-01
535,Thank You (2011),UTV,464000,5000000,2011-01-01
536,The Company Men,Wein.,4400000,441000,2011-01-01
537,Force,FoxS,0,4800000,2011-01-01
538,Tucker & Dale Vs. Evil,Magn.,224000,4500000,2011-01-01
539,London Boulevard,IFC,16100,4600000,2011-01-01
540,Dylan Dog: Dead of Night,OMNI/FSR,1200000,3400000,2011-01-01
541,The Names of Love,MBox,514000,4099999,2011-01-01
542,The Way,PDA,4400000,0,2011-01-01
543,Burke and Hare,IFC,4800,4300000,2011-01-01
544,King of Devil's Island,FM,7600,4200000,2011-01-01
545,Bride Flight,MBox,501000,3700000,2011-01-01
546,Trollhunter,Magn.,253000,3900000,2011-01-01
547,Buck,IFC,4000000,0,2011-01-01
548,Carancho,Strand,85500,3900000,2011-01-01
549,Like Crazy,ParV,3400000,336000,2011-01-01
550,The Double,Imag.,138000,3600000,2011-01-01
551,Don 2,Relbig.,3700000,0,2011-01-01
552,Love Crime,IFC,540000,3100000,2011-01-01
553,Incendies (U.S. only),SPC,2100000,1500000,2011-01-01
554,Martha Marcy May Marlene,FoxS,3000000,548000,2011-01-01
555,Fireflies in the Garden,,70600,3300000,2011-01-01
556,The King's Speech (PG-13),Wein.,3300000,0,2011-01-01
557,Machine Gun Preacher,Rela.,539000,2800000,2011-01-01
558,The Last Circus,Magn.,40500,3200000,2011-01-01
559,From Prada to Nada,LGF,3000000,123000,2011-01-01
560,Flypaper,IFC,5000,3100000,2011-01-01
561,Zindagi Na Milegi Dobara,Eros,3100000,0,2011-01-01
562,Take Shelter,SPC,1700000,1400000,2011-01-01
563,The Greatest Miracle,KKM,555000,2500000,2011-01-01
564,Rapt,Lorb.,45800,2900000,2011-01-01
565,Pastorela,LGF,161000,2700000,2011-01-01
566,The Double Hour,Gold.,1500000,1200000,2011-01-01
567,Everything Must Go,RAtt.,2700000,0,2011-01-01
568,3 (2011),Strand,60000,2600000,2011-01-01
569,Oranges and Sunshine,Cohen,143000,2400000,2011-01-01
570,Ong Bak 3,Magn.,14900,2300000,2011-01-01
571,Poetry,Kino,356000,1900000,2011-01-01
572,The Tree,Zeit.,71200,2100000,2011-01-01
573,"The Butcher, the Chef and the Swordsman",CL,47900,2000000,2011-01-01
574,The Trip (2011),IFC,2000000,0,2011-01-01
575,Armadillo,Lorb.,14600,2000000,2011-01-01
576,Bodyguard,Relbig.,1800000,0,2011-01-01
577,Brighton Rock,IFC,230000,1600000,2011-01-01
578,A Somewhat Gentle Man,Strand,37700,1800000,2011-01-01
579,The Topp Twins: Untouchable Girls,Argo.,29300,1800000,2011-01-01
580,Another Earth,FoxS,1300000,456000,2011-01-01
581,A Better Life,Sum.,1800000,0,2011-01-01
582,Chalet Girl,IFC,1700,1700000,2011-01-01
583,Yamla Pagla Deewana,Eros,993000,600000,2011-01-01
584,Bill Cunningham New York,Zeit.,1500000,0,2011-01-01
585,The Art of Getting By,FoxS,1400000,0,2011-01-01
586,The Devil's Double,LGF,1400000,0,2011-01-01
587,Uncle Boonmee Who Can Recall His Past Lives,Strand,184000,946000,2011-01-01
588,The Whistleblower,Gold.,1100000,0,2011-01-01
589,Red State,SMod,1100000,0,2011-01-01
590,London River,Libre,7200,1100000,2011-01-01
591,Desi Boyz,Eros,1100000,0,2011-01-01
592,When We Leave (Die Fremde),Olive,19600,1100000,2011-01-01
593,There Be Dragons,Gold.,1100000,0,2011-01-01
594,Vanishing on 7th Street,Magn.,22700,1000000,2011-01-01
595,Page One: A Year Inside the New York Times,Magn.,1100000,0,2011-01-01
596,The Time That Remains,IFC,32900,1000000,2011-01-01
597,Rockstar (2011),Eros,987000,0,2011-01-01
598,Meek's Cutoff,Osci.,978000,0,2011-01-01
599,Texas Killing Fields,Anch.,45500,912000,2011-01-01
600,Ready,Eros,955000,0,2011-01-01
601,Miral,Wein.,373000,527000,2011-01-01
602,Submarine,Wein.,468000,397000,2011-01-01
603,Higher Ground,SPC,842000,0,2011-01-01
604,Mozart's Sister,MBox,708000,132000,2011-01-01
605,Plastic Planet,FRun,3200,836000,2011-01-01
606,Chillar Party,UTV,6300,826000,2011-01-01
607,Mausam,Eros,728000,0,2011-01-01
608,The First Grader,NGE,332000,382000,2011-01-01
609,Hobo With a Shotgun,Magn.,703000,0,2011-01-01
610,Tabloid,IFC,697000,0,2011-01-01
611,Dhobi Ghat (Mumbai Diaries),UTV,577000,102000,2011-01-01
612,Aarakshan (Reservation),Relbig.,651000,0,2011-01-01
613,POM Wonderful Presents: The Greatest Movie Ever Sold,SPC,638000,0,2011-01-01
614,No One Killed Jessica,UTV,441000,193000,2011-01-01
615,Korkoro,Lorb.,8200,619000,2011-01-01
616,Blackthorn,Magn.,201000,423000,2011-01-01
617,How I Ended This Summer,FM,8700,614000,2011-01-01
618,The Ledge,IFC,9200,602000,2011-01-01
619,Heartbeats,IFC,68700,520000,2011-01-01
620,The Future,RAtt.,569000,0,2011-01-01
621,Dum Maaro Dum,FoxS,564000,0,2011-01-01
622,Double Dhamaal,Relbig.,544000,0,2011-01-01
623,Kaboom,IFC,119000,421000,2011-01-01
624,Mere Brother Ki Dulhan,Yash,496000,0,2011-01-01
625,Weekend (2011),IFC,485000,0,2011-01-01
626,Protektor,FM,3000,469000,2011-01-01
627,Circumstance,RAtt.,454000,0,2011-01-01
628,The Other Woman,IFC,25400,427000,2011-01-01
629,Project Nim,RAtt.,411000,0,2011-01-01
630,Rage (Rabia),Strand,5600,403000,2011-01-01
631,The Human Resources Manager,FM,64000,329000,2011-01-01
632,Hesher,WHE,383000,0,2011-01-01
633,7 Khoon Maaf,UTV,270000,94700,2011-01-01
634,Another Happy Day,P4,8500,347000,2011-01-01
635,Singham,Relbig.,351000,0,2011-01-01
636,The Mill and the Cross,KC,312000,30300,2011-01-01
637,Super,IFC,328000,0,2011-01-01
638,L'Amour Fou,IFC,312000,0,2011-01-01
639,Being Elmo: A Puppeteer's Journey,SD,304000,0,2011-01-01
640,In the Land of Blood and Honey,FD,304000,0,2011-01-01
641,Special Treatment,FRun,8900,286000,2011-01-01
642,Illegal (2011),FM,700,289000,2011-01-01
643,The Interrupters,CGld,282000,0,2011-01-01
644,Rascals,Eros,274000,0,2011-01-01
645,The Black Power Mix Tape: 1967-1975,IFC,274000,0,2011-01-01
646,Black Death,Magn.,22600,243000,2011-01-01
647,Le Quattro Volte,Lorb.,153000,103000,2011-01-01
648,Life in a Day,NGE,253000,0,2011-01-01
649,Caterpillar,Lorb.,4200,248000,2011-01-01
650,Little Girl (La Pivellina),FRun,1400,236000,2011-01-01
651,El Bulli: Cooking in Progress,AM,237000,0,2011-01-01
652,"If I Want to Whistle, I Whistle",FM,12100,220000,2011-01-01
653,Into the Abyss,IFC,224000,0,2011-01-01
654,HappyThankYouMorePlease,Anch.,216000,0,2011-01-01
655,The Robber,Kino,83500,125000,2011-01-01
656,Henry's Crime,MPFT,103000,102000,2011-01-01
657,A Good Old Fashioned Orgy,Gold.,200000,0,2011-01-01
658,Film Socialisme,Lorb.,33000,159000,2011-01-01
659,Bol,Eros,189000,0,2011-01-01
660,Leap Year (2011),Strand,13000,175000,2011-01-01
661,A Screaming Man,FM,9900,175000,2011-01-01
662,Jig,Scre.,184000,0,2011-01-01
663,Nostalgia for the Light,Icar.,164000,13700,2011-01-01
664,Anchor Baby,AGF,15800,161000,2011-01-01
665,Bellflower,Osci.,168000,0,2011-01-01
666,Restless (2011),SPC,163000,0,2011-01-01
667,Road to Nowhere,Mont.,40300,121000,2011-01-01
668,Magic Trip,Magn.,155000,0,2011-01-01
669,Eames: The Architect and the Painter,FRun,153000,0,2011-01-01
670,Revenge of the Electric Car,A23,151000,0,2011-01-01
671,The Human Centipede 2: Full Sequence,IFC,142000,0,2011-01-01
672,Cold Weather,IFC,141000,0,2011-01-01
673,Game (2011),Eros,140000,0,2011-01-01
674,1911,Vari.,136000,0,2011-01-01
675,"Life, Above All",SPC,134000,0,2011-01-01
676,Tomboy (2011),Da.,130000,0,2011-01-01
677,Octubre,NYer,32100,96700,2011-01-01
678,The Arbor,Strand,21600,105000,2011-01-01
679,Mysteries of Lisbon,MBox,111000,14900,2011-01-01
680,Vidal Sassoon: The Movie,P4,86000,38600,2011-01-01
681,Trust (2011),MNE,120000,0,2011-01-01
682,Steve Jobs: The Lost Interview,Magn.,106000,0,2011-01-01
683,Rubber,Magn.,100000,0,2011-01-01
684,The Man Who Fell to Earth (35th anniversary re-issue),Rialto,100000,0,2011-01-01
685,Chalo Dilli,Eros,94300,0,2011-01-01
686,The Whale,Pala.,81900,0,2011-01-01
687,Beautiful Boy,Anch.,77200,0,2011-01-01
688,Puncture,MNE,68900,0,2011-01-01
689,A Beautiful Life,CL,66200,0,2011-01-01
690,"Tuesday, After Christmas",Lorb.,27800,36200,2011-01-01
691,Viva Riva!,MBox,61800,0,2011-01-01
692,Murder 2,Eros,59500,0,2011-01-01
693,Dirty Girl,Wein.,55100,0,2011-01-01
694,Battleship Potemkin (2011 re-issue),Kino,51200,0,2011-01-01
695,Love U Mr. Kalakaar,Eros,48600,0,2011-01-01
696,Margaret,FoxS,46500,0,2011-01-01
697,"Happy, Happy",Magn.,45200,0,2011-01-01
698,The Myth of the American Sleepover,IFC,41000,0,2011-01-01
699,Hell and Back Again,DF,40600,0,2011-01-01
700,Khodorkovsky,KL,39500,0,2011-01-01
701,Sleeping Beauty (2011) (II),IFC,36600,0,2011-01-01
702,My Kingdom (2011),CL,36500,0,2011-01-01
703,Love in Space,CL,34800,0,2011-01-01
704,Stake Land,IFC,33200,0,2011-01-01
705,Brotherhood (2011),P4,19700,12700,2011-01-01
706,The Son of No One,Anch.,30700,0,2011-01-01
707,Muran,UTV,30100,0,2011-01-01
708,The Sleeping Beauty,Strand,29100,0,2011-01-01
709,Tyrannosaur,Strand,22300,0,2011-01-01
710,Ceremony,Magn.,22300,0,2011-01-01
711,I'm Glad My Mother is Alive,Strand,8700,13200,2011-01-01
712,Always Kabhi Kabhi,Eros,21400,0,2011-01-01
713,Empire of Silver,NeoC,0,19000,2011-01-01
714,5 Days of War,Anch.,17500,0,2011-01-01
715,Aurora,CGld,5700,5100,2011-01-01
716,Magic to Win,CL,10700,0,2011-01-01
717,Wrecked,IFC,8000,0,2011-01-01
718,My Piece of the Pie,IFC,6900,0,2011-01-01
719,I Melt With You,Magn.,6400,0,2011-01-01
720,My Joy,KL,6300,0,2011-01-01
721,To Die Like a Man,Strand,4000,900,2011-01-01
722,Blood Ties,ALP,2800,0,2011-01-01
723,Knuckle,Vita.,2600,0,2011-01-01
724,Main Street,Magn.,2600,0,2011-01-01
725,"Love, Wedding, Marriage",IFC,1900,0,2011-01-01
726,An Invisible Sign,IFC,1300,0,2011-01-01
727,Marvel's The Avengers,BV,623400000,895500000,2012-01-01
728,Skyfall,Sony,304400000,804200000,2012-01-01
729,The Dark Knight Rises,WB,448100000,636800000,2012-01-01
730,The Hobbit: An Unexpected Journey,WB (NL),303000000,718100000,2012-01-01
731,Ice Age: Continental Drift,Fox,161300000,715900000,2012-01-01
732,The Twilight Saga: Breaking Dawn Part 2,LG/S,292300000,537400000,2012-01-01
733,The Amazing Spider-Man,Sony,262000000,495900000,2012-01-01
734,Madagascar 3: Europe's Most Wanted,P/DW,216400000,530500000,2012-01-01
735,The Hunger Games,LGF,408000000,286400000,2012-01-01
736,MIB 3,Sony,179000000,445000000,2012-01-01
737,Life of Pi,Fox,125000000,484000000,2012-01-01
738,Ted,Uni.,218800000,330600000,2012-01-01
739,Brave,BV,237300000,303200000,2012-01-01
740,Wreck-It Ralph,BV,189400000,281800000,2012-01-01
741,Les Miserables (2012),Uni.,148800000,293000000,2012-01-01
742,The Intouchables (U.S.-only),Wein.,10200000,416400000,2012-01-01
743,Django Unchained,Wein.,162800000,262600000,2012-01-01
744,Prometheus,Fox,126500000,276900000,2012-01-01
745,Snow White and the Huntsman,Uni.,155300000,241300000,2012-01-01
746,Taken 2,Fox,139900000,236300000,2012-01-01
747,Hotel Transylvania,Sony,148300000,210100000,2012-01-01
748,Dr. Seuss' The Lorax,Uni.,214000000,134800000,2012-01-01
749,Titanic 3D,Par.,57900000,285700000,2012-01-01
750,Journey 2: The Mysterious Island,WB (NL),103900000,231400000,2012-01-01
751,The Expendables 2,LGF,85000000,229900000,2012-01-01
752,Rise of the Guardians,P/DW,103400000,203500000,2012-01-01
753,Wrath of the Titans,WB,83700000,221600000,2012-01-01
754,Battleship,Uni.,65400000,237600000,2012-01-01
755,John Carter,BV,73100000,211100000,2012-01-01
756,The Bourne Legacy,Uni.,113200000,162900000,2012-01-01
757,Lincoln,BV,182200000,93100000,2012-01-01
758,Dark Shadows,WB,79700000,165800000,2012-01-01
759,Resident Evil: Retribution,SGem,42300000,197700000,2012-01-01
760,Silver Linings Playbook,Wein.,132100000,104300000,2012-01-01
761,American Reunion,Uni.,57000000,178000000,2012-01-01
762,Argo,WB,136000000,96300000,2012-01-01
763,Jack Reacher,Par.,80100000,138300000,2012-01-01
764,Safe House,Uni.,126400000,81700000,2012-01-01
765,21 Jump Street,Sony,138400000,63100000,2012-01-01
766,Total Recall (2012),Sony,58900000,139600000,2012-01-01
767,The Vow,SGem,125000000,71100000,2012-01-01
768,Mirror Mirror,Rela.,64900000,118100000,2012-01-01
769,The Impossible,LG/S,19000000,161300000,2012-01-01
770,The Dictator,Par.,59700000,119700000,2012-01-01
771,Looper,TriS,66500000,110000000,2012-01-01
772,Magic Mike,WB,113700000,53500000,2012-01-01
773,Flight,Par.,93800000,68000000,2012-01-01
774,Underworld Awakening,SGem,62300000,97800000,2012-01-01
775,This Means War,Fox,54800000,101700000,2012-01-01
776,The Secret World of Arrietty,BV,19200000,126400000,2012-01-01
777,Paranormal Activity 4,Par.,53900000,88900000,2012-01-01
778,Step Up Revolution,LG/S,35100000,105400000,2012-01-01
779,The Best Exotic Marigold Hotel,FoxS,46400000,90400000,2012-01-01
780,Zero Dark Thirty,Sony,95700000,37100000,2012-01-01
781,Ghost Rider: Spirit of Vengeance,Sony,51800000,80800000,2012-01-01
782,Cloud Atlas,WB,27100000,103400000,2012-01-01
783,The Woman in Black,CBS,54300000,73400000,2012-01-01
784,Chronicle (2012),Fox,64599999,62100000,2012-01-01
785,The Pirates! Band of Misfits,Sony,31100000,92000000,2012-01-01
786,Parental Guidance,Fox,77300000,42500000,2012-01-01
787,Abraham Lincoln: Vampire Hunter,Fox,37500000,79000000,2012-01-01
788,Pitch Perfect,Uni.,65000000,50300000,2012-01-01
789,Hope Springs,Sony,63500000,50700000,2012-01-01
790,ParaNorman,Focus,56000000,51100000,2012-01-01
791,The Campaign,WB,86900000,18000000,2012-01-01
792,Let the Bullets Fly,Vari.,63000,104300000,2012-01-01
793,Star Wars: Episode I - The Phantom Menace (in 3D),Fox,43500000,59300000,2012-01-01
794,Project X,WB,54700000,48000000,2012-01-01
795,The Devil Inside,Par.,53300000,48500000,2012-01-01
796,The Lucky One,WB,60500000,38900000,2012-01-01
797,Contraband,Uni.,66500000,29700000,2012-01-01
798,Think Like a Man,SGem,91500000,4500000,2012-01-01
799,This Is 40,Uni.,67500000,20500000,2012-01-01
800,The Inbetweeners Movie,WHE,36000,88000000,2012-01-01
801,The Possession,LGF,49100000,36300000,2012-01-01
802,What to Expect When You're Expecting,LGF,41200000,43200000,2012-01-01
803,The Thieves,WGUSA,686000,82800000,2012-01-01
804,Savages (2012),Uni.,47400000,35600000,2012-01-01
805,Frankenweenie,BV,35300000,46200000,2012-01-01
806,Act of Valor,Rela.,70000000,11300000,2012-01-01
807,Masquerade (2012),CJ,923000,79800000,2012-01-01
808,Sinister,LG/S,48100000,29600000,2012-01-01
809,The Grey,ORF,51600000,25700000,2012-01-01
810,Diary of a Wimpy Kid: Dog Days,Fox,49000000,28100000,2012-01-01
811,To Rome with Love,SPC,16700000,56600000,2012-01-01
812,Here Comes the Boom,Sony,45300000,27800000,2012-01-01
813,Finding Nemo (3D),BV,41100000,28200000,2012-01-01
814,Anna Karenina,Focus,12800000,56100000,2012-01-01
815,The Watch,Fox,35400000,32900000,2012-01-01
816,Moonrise Kingdom,Focus,45500000,22800000,2012-01-01
817,Tyler Perry's Madea's Witness Protection,LGF,65700000,1200000,2012-01-01
818,The Cabin in the Woods,LGF,42100000,24400000,2012-01-01
819,Beauty and the Beast (3D),BV,47600000,14400000,2012-01-01
820,Rock of Ages,WB (NL),38500000,20900000,2012-01-01
821,That's My Boy,Sony,36900000,20800000,2012-01-01
822,The Odd Life of Timothy Green,BV,51900000,4200000,2012-01-01
823,The Three Stooges,Fox,44300000,10500000,2012-01-01
824,The Five-Year Engagement,Uni.,28800000,25100000,2012-01-01
825,Lawless,Wein.,37400000,16300000,2012-01-01
826,Silent Hill: Revelation 3D,ORF,17500000,34800000,2012-01-01
827,Red Tails,Fox,49900000,489000,2012-01-01
828,"Monsters, Inc. (3D)",BV,34000000,16200000,2012-01-01
829,Trouble with the Curve,WB,35800000,13200000,2012-01-01
830,Little White Lies,MPI,206000,48300000,2012-01-01
831,End of Watch,ORF,41000000,7100000,2012-01-01
832,Man on a Ledge,LG/S,18600000,27600000,2012-01-01
833,Red Dawn (2012),FD,44800000,0,2012-01-01
834,House at the End of The Street,Rela.,31600000,12700000,2012-01-01
835,The Guilt Trip,Par.,37100000,4700000,2012-01-01
836,A Werewolf Boy,CJ,343000,41300000,2012-01-01
837,Safe (2012),LGF,17100000,23200000,2012-01-01
838,Killing Them Softly,Wein.,15000000,22900000,2012-01-01
839,Chernobyl Diaries,WB,18100000,19000000,2012-01-01
840,One For the Money,LGF,26400000,10500000,2012-01-01
841,Dredd,LGF,13400000,22200000,2012-01-01
842,Tyler Perry's Good Deeds,LGF,35000000,553000,2012-01-01
843,Arbitrage,RAtt.,7900000,27600000,2012-01-01
844,Chimpanzee,BV,29000000,5900000,2012-01-01
845,Alex Cross,LG/S,25900000,8700000,2012-01-01
846,Salmon Fishing in the Yemen,CBS,9000000,25500000,2012-01-01
847,Fetih 1453: The Conquest of Constantinople,NeoC,35700,34400000,2012-01-01
848,Cirque Du Soleil: Worlds Away,Par.,12500000,21600000,2012-01-01
849,The Perks of Being a Wallflower,LG/S,17700000,15600000,2012-01-01
850,Haywire,Rela.,18900000,14400000,2012-01-01
851,Katy Perry: Part of Me,Par.,25300000,7400000,2012-01-01
852,Lockout,FD,14300000,17900000,2012-01-01
853,Joyful Noise,WB,30900000,226000,2012-01-01
854,Premium Rush,Sony,20300000,10800000,2012-01-01
855,The Raven,Rela.,16000000,13600000,2012-01-01
856,Rowdy Rathore,UTV,777000,28600000,2012-01-01
857,Dragon (2012),RTWC,11100,29100000,2012-01-01
858,Bol Bachchan,FIP,1200000,27600000,2012-01-01
859,The Master,Wein.,16399999,11900000,2012-01-01
860,Rust and Bone,SPC,2100000,23700000,2012-01-01
861,Big Miracle,Uni.,20200000,4600000,2012-01-01
862,Sparkle (2012),TriS,24400000,240000,2012-01-01
863,To the Arctic (IMAX),WB,14600000,9100000,2012-01-01
864,Hitchcock,FoxS,6000000,17600000,2012-01-01
865,A Thousand Words,P/DW,18500000,3600000,2012-01-01
866,Wanderlust,Uni.,17500000,4200000,2012-01-01
867,Beasts of the Southern Wild,FoxS,12800000,8300000,2012-01-01
868,Polisse,IFC,211000,20200000,2012-01-01
869,Amour,SPC,6700000,13100000,2012-01-01
870,The Man with the Iron Fists,Uni.,15600000,4099999,2012-01-01
871,Solomon Kane,RTWC,0,19600000,2012-01-01
872,Seven Psychopaths,CBS,15000000,4400000,2012-01-01
873,Gone,LG/S,11700000,6400000,2012-01-01
874,Norwegian Wood,RF,13000,17600000,2012-01-01
875,The Cold Light of Day,LG/S,3800000,13100000,2012-01-01
876,My Way (2012),CJ,70200,16500000,2012-01-01
877,Tomorrow When the War Began,Free,4900,16500000,2012-01-01
878,We Have a Pope,IFC,548000,15600000,2012-01-01
879,Headhunters,Magn.,1200000,14500000,2012-01-01
880,Hit and Run,ORF,13700000,704000,2012-01-01
881,War of the Buttons (2012),Wein.,47800,13800000,2012-01-01
882,Red Lights (2012),MNE,52600,13500000,2012-01-01
883,The Words,CBS,11500000,1700000,2012-01-01
884,Playing for Keeps,FD,13100000,0,2012-01-01
885,Silent House,ORF,12800000,347000,2012-01-01
886,Friends with Kids,RAtt.,7300000,5800000,2012-01-01
887,The Well-Digger's Daughter,KL,386000,12200000,2012-01-01
888,Klown,Drft.,68800,12400000,2012-01-01
889,People Like Us,BV,12400000,0,2012-01-01
890,Seeking Justice,Anch.,412000,11900000,2012-01-01
891,Bachelorette,RTWC,448000,11500000,2012-01-01
892,This Must Be the Place,Wein.,144000,11600000,2012-01-01
893,Fun Size,Par.,9400000,2000000,2012-01-01
894,Rec 3: Genesis,Magn.,9600,10100000,2012-01-01
895,Delicacy,Cohen,499000,9200000,2012-01-01
896,Seeking a Friend for the End of the World,Focus,7100000,2600000,2012-01-01
897,The Apparition,WB,4900000,4700000,2012-01-01
898,For Greater Glory,ArcEnt,5700000,4000000,2012-01-01
899,Hysteria,SPC,1800000,7700000,2012-01-01
900,Bernie,MNE,9200000,0,2012-01-01
901,The Sessions,FoxS,6000000,3100000,2012-01-01
902,Ruby Sparks,FoxS,2500000,6600000,2012-01-01
903,Hyde Park on Hudson,Focus,6400000,2500000,2012-01-01
904,On the Road,IFC,744000,8000000,2012-01-01
905,Boy (2012),PalUni,256000,8400000,2012-01-01
906,Piranha 3DD,W/Dim.,377000,8100000,2012-01-01
907,Easy Money (2012),Wein.,206000,8199999,2012-01-01
908,Space Dogs 3D,EpicPics,14400,8300000,2012-01-01
909,Bel Ami,Magn.,120000,8199999,2012-01-01
910,Promised Land (2012),Focus,7600000,541000,2012-01-01
911,Iron Sky,EOne,122000,8000000,2012-01-01
912,Casa De Mi Padre,LGF,5900000,2100000,2012-01-01
913,Heroine,UTV,599000,7400000,2012-01-01
914,A Royal Affair,Magn.,1500000,6000000,2012-01-01
915,All Together,KL,43200,7200000,2012-01-01
916,My Worst Nightmare,Strand,22000,7100000,2012-01-01
917,The Collection,LD,6800000,0,2012-01-01
918,Monsieur Lazhar (U.S.-only),MBox,2000000,4600000,2012-01-01
919,Goon,Magn.,4200000,2300000,2012-01-01
920,Cosmopolis,EOne,764000,5300000,2012-01-01
921,Chasing Mavericks,Fox,6000000,600,2012-01-01
922,Declaration of War,IFC,59100,5800000,2012-01-01
923,Puella Magi Madoka Magica the Movie,Elev.,180000,5600000,2012-01-01
924,Albert Nobbs,RAtt.,3000000,2600000,2012-01-01
925,In Darkness,SPC,1000000,4500000,2012-01-01
926,Won't Back Down,Fox,5300000,0,2012-01-01
927,Farewell My Queen,Cohen,1600000,3700000,2012-01-01
928,The Tall Man,Imag.,0,5200000,2012-01-01
929,Girl in Progress,LGF,2600000,2000000,2012-01-01
930,"Jeff, Who Lives at Home",ParV,4300000,148000,2012-01-01
931,Barbara,AF,1000000,3100000,2012-01-01
932,The Raid: Redemption,SPC,4099999,0,2012-01-01
933,Keith Lemon: The Film,,0,4000000,2012-01-01
934,Safety Not Guaranteed,FD,4000000,0,2012-01-01
935,Nitro Circus the Movie 3D,ArcEnt,3400000,526000,2012-01-01
936,"Lula, Son of Brazil",NYer,0,3800000,2012-01-01
937,The Lady,Cohen,355000,3400000,2012-01-01
938,Branded,RAtt.,354000,3400000,2012-01-01
939,The Rabbi's Cat,GK,23400,3700000,2012-01-01
940,Searching for Sugar Man,SPC,3700000,0,2012-01-01
941,Killer Joe,LD,2000000,1700000,2012-01-01
942,Hara-Kiri: Death of a Samurai,Trib.,75700,3400000,2012-01-01
943,Robot & Frank,Gold.,3300000,0,2012-01-01
944,Raiders of the Lost Ark (IMAX),Par.,3100000,0,2012-01-01
945,Celeste and Jesse Forever,SPC,3100000,0,2012-01-01
946,Jab Tak Hai Jaan,Yash,3000000,0,2012-01-01
947,Intruders,MNE,69100,2900000,2012-01-01
948,Talaash,Relbig.,2900000,0,2012-01-01
949,Barfi!,UTV,2800000,0,2012-01-01
950,A Simple Life,CL,192000,2600000,2012-01-01
951,Samsara,Osci.,2700000,0,2012-01-01
952,Simon and the Oaks,TFA,151000,2400000,2012-01-01
